dataset,spearman_corr,spearman_p,mse,mae,n_samples
kermut_fold_modulo_5,0.7157324405646552,4.5706275405199846e-48,0.46534677858673235,0.5044223749791946,298
kermut_fold_modulo_5,0.7149305446838318,0.0,0.5339223280877181,0.5316473449669625,6227
kermut_fold_random_5,0.7135245310245311,7.099739627140653e-56,0.48016168480457716,0.5383038144017094,351
kermut_fold_modulo_5,0.7120964740384659,1.0302872999939255e-150,0.5242606135232795,0.5457320445669763,969
kermut_fold_modulo_5,0.7103090990667185,6.277653694989381e-241,0.5096803217577535,0.5395825767203574,1567
kermut_fold_modulo_5,0.7080375592618198,0.0,0.5061685453101689,0.563046546907692,10715
kermut_fold_random_5,0.7080307557860649,0.0,0.46311554193214477,0.4985453095783868,5083
kermut_fold_modulo_5,0.7069591112079758,0.0,0.447106233133081,0.5247597124286963,10094
kermut_fold_random_5,0.7066961247202418,1.98919282231789e-254,0.5491174511876299,0.5481893911666489,1680
kermut_fold_modulo_5,0.7063490975498244,0.0,0.43373448177067697,0.49395535518149725,7467
kermut_fold_modulo_5,0.7061169753623608,0.0,0.4430115924595135,0.4702248360989559,3084
kermut_fold_random_5,0.7039775726224914,3.296456516799623e-244,0.5011058754067318,0.45337734115877304,1630
kermut_fold_modulo_5,0.7032725403439335,0.0,0.5089694591750532,0.5583424569330465,10754
kermut_fold_modulo_5,0.7008994433632115,1.8306548839751047e-173,0.5556651888346595,0.5804977168191189,1169
kermut_fold_random_5,0.6999489987249682,9.145903236347167e-31,0.5510052359584604,0.5842415895615,200
kermut_fold_random_5,0.6999281289334937,0.0,0.551350349413376,0.5286279116703924,8570
kermut_fold_random_5,0.6981359890002171,0.0,0.3872284886574591,0.47420090849144647,12464
kermut_fold_random_5,0.6951872503791355,3.9553498872161745e-53,0.5244311962023384,0.5867316107938718,359
kermut_fold_random_5,0.6944379415507421,0.0,0.3922812896501895,0.46126497026318936,5393
kermut_fold_modulo_5,0.6935189914455788,0.0,0.47949290865640254,0.5312482498911987,7467
kermut_fold_random_5,0.6910697662075231,0.0,0.31994305155213637,0.34772823351076815,2916
kermut_fold_modulo_5,0.689015860518074,0.0,0.4704179124798062,0.5324303540160431,2315
kermut_fold_modulo_5,0.6885811920105047,1.4220509513198592e-174,0.49921421191060344,0.5379083270291027,1237
kermut_fold_random_5,0.6871133287213047,0.0,0.5405641173925175,0.5487823047234143,7889
kermut_fold_modulo_5,0.6844343995223688,0.0,0.5069541269723705,0.5595632213579466,2844
kermut_fold_random_5,0.6833823213010048,4.9983145761254364e-253,0.39455227685929445,0.4695388838448557,1837
kermut_fold_random_5,0.683212339689194,6.431557171981974e-166,0.4704890634817524,0.4303626415009575,1201
kermut_fold_modulo_5,0.6824324486245373,0.0,0.55683407299894,0.5796818188032761,7890
kermut_fold_modulo_5,0.6822956954280253,6.284423709919218e-179,0.3117672770491244,0.4138992696232513,1301
kermut_fold_random_5,0.6769307330943704,5.2836902835665466e-222,0.4835059301920071,0.46903612817077434,1653
kermut_fold_modulo_5,0.6766265936986837,2.528317206397664e-225,0.5847686667343234,0.5752887591355358,1680
kermut_fold_modulo_5,0.6761782692032527,1.2947457360853427e-283,0.4591584488690036,0.4954166130876036,2122
kermut_fold_modulo_5,0.6727660776474601,0.0,0.42761542778241607,0.481260718010968,4277
kermut_fold_modulo_5,0.671115056773319,2.9944664847353186e-157,0.6219326425452045,0.6445599478470795,1195
kermut_fold_random_5,0.6699054880601119,7.078102713146602e-222,0.5454316309883734,0.5575843973596413,1700
kermut_fold_modulo_5,0.6686961212612799,0.0,0.5906843208405683,0.5725475053689703,11576
kermut_fold_random_5,0.6654507446871415,0.0,0.41175117310229997,0.483865681327654,16749
kermut_fold_modulo_5,0.6644110833579981,0.0,0.5308097161317796,0.5480093502488156,5083
kermut_fold_modulo_5,0.6638422181209646,0.0,0.44361566073559733,0.48351970176069575,4670
kermut_fold_modulo_5,0.6625557379515128,0.0,0.5750885434240586,0.5711151717990924,7889
